1                                       ,   1,Comuna 1 Decembrie
1 DECEMBRIE                             ,   7,Comuna 1 Decembrie
1 DECEMBRIE 1918                        ,   1,1 Decembrie 1918
1 DECEMBRIE Green City                  ,   1,Comuna 1 Decembrie
1 DECEMBRIE la 1km de DN                ,   1,Comuna 1 Decembrie
"1 Decembrie, -                          ",   1,Comuna 1 Decembrie
"1 Decembrie, 1 DECEMBRIE                ",   2,Comuna 1 Decembrie
"1 Decembrie, 1 decembrie                ",   1,Comuna 1 Decembrie
"1 Decembrie, Aeroportul Clinceni        ",   1,Comuna 1 Decembrie
"1 Decembrie, BERCENI                    ",   1,Comuna 1 Decembrie
"1 Decembrie, Belciugatele/ lac          ",   1,Comuna 1 Decembrie
"1 Decembrie, CENTRAL                    ",   1,Comuna 1 Decembrie
"1 Decembrie, COMPLEX                    ",   1,Comuna 1 Decembrie
"1 Decembrie, Cartier Independen?ei      ",   1,Comuna 1 Decembrie
"1 Decembrie, Cartierul nou              ",   1,Comuna 1 Decembrie
"1 Decembrie, Centrala                   ",   1,Comuna 1 Decembrie
"1 Decembrie, Centru                     ",   3,Comuna 1 Decembrie
"1 Decembrie, Com. Berceni- Vidra        ",   1,Comuna 1 Decembrie
"1 Decembrie, Comuna berceni             ",   1,Comuna 1 Decembrie
"1 Decembrie, DARASTI- VLASCA            ",   1,Comuna 1 Decembrie
"1 Decembrie, Gruiu                      ",   1,Comuna 1 Decembrie
"1 Decembrie, Ilfov                      ",   2,Comuna 1 Decembrie
"1 Decembrie, Langa parcul de agrement   ",   1,Comuna 1 Decembrie
"1 Decembrie, Linistita                  ",   1,Comuna 1 Decembrie
"1 Decembrie, Militari                   ",   1,Militari
"1 Decembrie, PRIMARIE                   ",   1,Comuna 1 Decembrie
"1 Decembrie, Padure                     ",   1,Comuna 1 Decembrie
"1 Decembrie, Pasarea                    ",   1,Comuna 1 Decembrie
"1 Decembrie, Plevnei 27E                ",   1,Comuna 1 Decembrie
"1 Decembrie, Rosu                       ",   1,Comuna 1 Decembrie
"1 Decembrie, SUD                        ",   1,Comuna 1 Decembrie
"1 Decembrie, Sos alexandriei, haliu     ",   1,Comuna 1 Decembrie
"1 Decembrie, Statia de metrou Pacii     ",   1,Militari
"1 Decembrie, Str. Noua                  ",   1,Comuna 1 Decembrie
"1 Decembrie, Strada Principala          ",   1,Comuna 1 Decembrie
"1 Decembrie, centrala                   ",   1,Comuna 1 Decembrie
"1 Decembrie, copaceni                   ",   1,Comuna 1 Decembrie
"1 Decembrie, periferie                  ",   1,Comuna 1 Decembrie
1 MAI                                   ,  16,1 Mai
1 MAI - Chibrit                         ,   1,1 Mai
1 MAI - Clabucet                        ,   2,1 Mai
1 MAI - Domenii                         ,   1,1 Mai
